date,description
"March 28, 2025 09:50 AM","SuspiciousThe Dispatch Center reported that MTC Security was speaking with a suspicious person on a bicycle. It was unclear whether the individual was inside or outside the gate. Officers responded for assistance; however, the individual had already left the area."
"March 28, 2025 09:50 AM",SuspiciousOfficers responded to the area of a suspicious group at the Y-trailhead. The incident was unfounded.
"March 28, 2025 09:13 AM","Traffic OffenseOfficers responded to a report of a motorcycle unlawfully driving up a pedestrian ramp before entering the road. However, the report was delayed by more than 10 minutes, and upon arrival, the officers were unable to locate the motorcycle in question."
"March 28, 2025 09:13 AM","Traffic OffenseOfficers responded to a report of a traffic offense at Lot 45, where they found the suspect vehicle and driver. Complainants informed the officers that the driver was speeding on Canyon Road and within the parking lot. The driver admitted to driving too fast for a late-night setting. Officers issued a warning, advising the suspect to reduce their speed and improve their risk management while driving."
"March 28, 2025 09:13 AM","MedicalOfficers and Provo Paramedics were dispatched to the MTC for an unconscious female. Upon arrival, paramedics determined that she had low blood sugar and began treating her. The female regained consciousness and normal function. Afterward, she contacted her parents and made plans with the MTC to see a doctor later in the day to investigate the cause of her low blood sugar. MTC staff retrieved food for her to ensure her blood sugar remained stable until her doctor’s appointment."
"March 28, 2025 09:13 AM",MedicalAn officer and BYU Emergency Medical Services (EMS) responded to a situation at the JFSB where a student had cut their finger during class. The officer provided assistance as required and remained on the scene until BYU EMS took over. The student received care but was ultimately not transported to a medical facility
"March 28, 2025 09:13 AM","Alarm – AEDOfficers responded to the Jesse Knight Building following a report of an AED alarm. Upon arrival, they found BYU technicians installing a new AED cabinet. There was no emergency, and the officers cleared the scene without incident."
"March 28, 2025 09:13 AM","Found PropertyAn officer and BYU EMS responded to the Harold B. Lee Library after a report of a medical device found in a men's restroom on the third floor. The device was identified and disposed of properly. A search of the area was conducted, but no individuals in distress or in need of medical attention were found."
"March 28, 2025 09:13 AM",MedicalAn officer and BYU EMS were dispatched to the Richards Building following a report of a student getting injured while playing intramural sports. This was a very minor incident and the police response was cancelled.
"March 28, 2025 09:13 AM",MedicalOfficers responded to the Richards Building for a male who had sustained injuries while playing intramural football. Provo EMS and BYU EMS assisted the individual.
"March 28, 2025 09:13 AM","Welfare CheckAn officer was dispatched to conduct a welfare check on a student. Upon contacting the student, the officer learned that they did not need any assistance, having already spoken with family and confirmed that they were not currently suicidal. The student returned to their dorm while accompanied by the complainant, who stated that they would contact us if further assistance was needed."
"March 28, 2025 09:13 AM","OverdoseAn officer was dispatched to the Missionary Training Center for an overdose. The officer responded, and the subject was transported to Utah Valley Hospital by Provo Fire. The officer “pink-sheeted” the individual for an involuntary mental health evaluation."
"March 28, 2025 08:31 AM","AccidentReport of an accident with property damage in parking lot 37. The officer arrived, contacted the involved parties, and conducted an on-scene investigation. The incident was documented and photographed, and instructions were provided for the parties involved."
"March 28, 2025 08:31 AM",MedicalBYU Police were dispatched to the Conference Center for a report of a sick person. BYU EMS also responded and informed the police that their assistance was not needed.
"March 28, 2025 08:31 AM","Animal ProblemA report was received via email regarding a dog swimming in the duck ponds at Maeser Hill along 800 N. The complainant requested contact through email and communicated concerns about the dog's interaction with nearby ducks. An officer documented the report and reached out to the complainant via email. Upon arrival, the officer found that both the dog and its owner had left the area. Surveillance footage was reviewed but did not capture any relevant information, and no witnesses reported interference or injury to the ducks. Additionally, no suspicious or criminal activity was detected in the vicinity."
"March 28, 2025 08:31 AM","InformationOfficers were dispatched to the vicinity of Smith Field House following reports of a vehicle associated with an individual banned from campus triggering the License Plate Recognition (LPR) system. Upon arrival, officers conducted a thorough search of the area but were unable to find the vehicle or the banned individual."
"March 28, 2025 07:54 AM",FraudAn officer contacted the complainant regarding a case of fraud. The complainant stated that their spouse had withdrawn money from a checking account to which they did not have access. The officer requested that the complainant send copies of the transactions. The officer informed the complainant that the case would be referred to investigations for follow-up.
"March 28, 2025 07:54 AM",Welfare CheckAn officer was asked to contact an associate professor regarding a concerning email received from a student. The officer was able to speak with the student over the phone. The student explained that the email had been taken out of context and clarified that they did not intend to harm themselves. The officer informed the student about the various services offered by BYU and advised that they could contact law enforcement at any time for assistance.
"March 28, 2025 07:54 AM","Welfare CheckOfficers were dispatched to Wyview Park for a welfare check on a female who had sent concerning text messages to her family, prompting them to request that officers check on her. After speaking with her, the officers arranged for her to talk with the on-call CAPS personnel. She was then transported to the Wasatch Mental Health Receiving Center for assistance."
"March 28, 2025 07:54 AM",MedicalAn officer from BYU EMS and Provo Fire responded to the MTC following a report of an individual experiencing an allergic reaction. The officer assisted medical personnel as needed. The patient was treated on scene and was not transported to the hospital.
"March 27, 2025 07:40 AM","AccidentA non-reportable crash occurred in parking lot 31 when a vehicle backed into an unoccupied parked car, resulting in moderate damage but no injuries. A documentation report was completed."
"March 27, 2025 07:40 AM","Welfare CheckA concerned wife reported her husband missing after he failed to return from a run four hours earlier, a behavior she described as unusual since he never takes his cell phone with him. While collecting details over the phone, she informed me that her husband had just returned home."
"March 27, 2025 07:40 AM","Fire AlarmAn officer was dispatched to Wymount Terrace Building 15E due to a fire alarm activation. Upon arrival, the officer was accompanied by residents to the apartment where the alarm originated. The residents explained that the alarm was triggered while cooking, and no fire, smoke, or damage was identified. The officer silenced the alarm, and a fire technician was called to the scene for further assessment."
"March 27, 2025 07:40 AM","PursuitAn officer attempted to make a traffic stop on a white and black motorcycle for having no license plate and for speeding. The officer activated their emergency lights and siren, but the driver of the motorcycle began to elude the officer's signal to stop. The pursuit was terminated, and an alert was sent to all surrounding agencies."
"March 27, 2025 07:40 AM","MedicalAn officer assisted medical personnel with a sister missionary who was having trouble breathing due to anxiety at the MTC. With the help of paramedics, she was able to calm down and regain control of her breathing. She was then released on the scene to two adults who could help her fully recover."
"March 27, 2025 07:40 AM","Property DamageAn officer was dispatched to investigate a delayed hit-and-run incident that occurred near the Marriott Center last week. According to the complainant, they had parked their vehicle in the parking lot for several hours. Upon returning, they noticed that the driver's side rear tire's wheel panel had popped out. The officer reviewed the camera footage but was unable to detect any damage to the vehicle."
"March 23, 2025 02:33 PM","AccidentAn officer investigated a potential traffic accident on South Campus Drive near the JSB crosswalk. A driver performed a U-turn, resulting in a flat front tire and a bent tie rod after hitting the curb, which disabled the vehicle. The driver arranged for a tow truck to transport the car to a nearby repair shop. No damage occurred to university property, only to the vehicle itself."
"March 23, 2025 02:33 PM",Abandoned VehicleA police officer found what appeared to be an abandoned vehicle with no license plate in Lot 45. Further follow-up will be done in this case.
"March 23, 2025 02:33 PM","Fire AlarmA police officer responded to a fire alarm at Wymount Terrace building 16D. Upon arrival, the officer determined that the alarm was triggered by smoke from cooking, with no flames present. The electric shop will reset the alarm, and housing will follow up on this incident."
"March 22, 2025 09:45 AM","AccidentAn officer responded to a traffic accident in the Grounds parking lot involving a BYU garbage truck that accidentally backed into an awning. The garbage truck incurred no damage, while the awning sustained minor damage. The officer documented the incident."
"March 22, 2025 09:45 AM","InformationAn officer responded to a report of a potential person on the roof of the Cannon Center. Upon arrival, he accessed the roof via a hatch and confirmed that no one was present. He then contacted the complainant to discuss the situation further."
"March 22, 2025 09:45 AM","AlarmAn officer was dispatched to the LSB Bio Labs in response to an alarm activation. Upon arrival, the officer contacted the facility's coordinator, who confirmed that the alarm was a false alert. Consequently, the police response was canceled."
"March 21, 2025 11:04 AM","Glass Break – AlarmOfficers responded to the Student Athletic Building due to a glass break alarm. Upon arrival, they found the building open with employees inside. After checking the area, the officers reported no signs of a break-in, and the cause of the alarm remains unknown."
"March 21, 2025 11:04 AM","TheftA complainant locked his bicycle to a bike rack in Wymount Terrace on March 19th. When he went to retrieve it the next morning, he discovered that the lock had been cut and that the bike had been stolen. There are currently no suspects in the theft, and the bike is listed as stolen in the NCIC database."
"March 21, 2025 11:04 AM","DrugsAn officer responded to the Hinckley building to collect a piece of suspicious mail. The item had been returned to the Hinckley building multiple times. After opening the mail for the third time, they found what they initially thought was a vape pen; however, it turned out to be a mechanical pencil and lead. The officer disposed of the undeliverable mail, which did not belong to a BYU student, along with the pencil."
"March 21, 2025 11:04 AM","MedicalAn officer responded to the Clyde Building, where a person was found on the sidewalk west of the building with what appeared to be a broken bone in his shoulder. The individual had been riding a skateboard when he crashed, hitting his shoulder on the sidewalk. The patient was treated by BYU EMS and Provo Fire but refused transport. The officer then gave him a ride to the Life Science Building, where he planned to have his shoulder X-rayed."
"March 21, 2025 11:04 AM","Lost PropertyA complainant reported that his skateboard was stolen from the Creamery in Heritage Halls, building 7. An officer checked the Creamery, and the skateboard was subsequently recovered. Since the complainant is out of town, the skateboard has been placed in an evidence locker to be returned to him once he is back on campus."
"March 21, 2025 11:04 AM","MedicalBYU EMS, Provo Fire, and BYU Police responded to a report of a male who had injured his knee at the Richards Building Field. The male was evaluated by EMTs and released at the scene without the need for transport to the hospital."
"March 21, 2025 06:57 AM","Welfare CheckThe officer responded to the LSB for a Safe Walk welfare check. Upon arrival, the officer located the subject, who was found to be okay. The complainant stated that they had reached out both via the app and by text. Dispatch confirmed that they received a text message while the officer was speaking with the complainant."
"March 21, 2025 06:57 AM",Lost PropertyBYU Police were dispatched to respond to a report of a lost set of keys somewhere on the BYU campus. The officer gathered details about the keys and directed the student to the main lost and found areas on campus.
"March 21, 2025 06:57 AM",Sex OffenseAn officer contacted an individual regarding a delayed sexual assault. The officer spoke with the victim and gathered basic information about the incident. The officer explained a victim advocate would contact them for further follow up. This case was referred to investigators.
"March 21, 2025 06:57 AM","InformationAn officer responded to the report of a possible slashed tire. After reviewing the pictures, it appears that the tire was damaged by a road hazard. The complainant requested a report to document the incident in case anyone else experienced similar problems in the area."
"March 21, 2025 06:35 AM","Suspicious CircumstanceOfficers responded to the area of WV after receiving a complaint about hearing footsteps and a door opening. Upon checking the area, they located a student who was on their way to early morning work. The officers did not observe anything else suspicious."
"March 21, 2025 06:35 AM","Suspicious PersonOfficers responded to Wymount Terrace after receiving a report of a suspicious person in a vehicle near a laundromat. Upon arrival, the officers found that the individual was an employee working in the area."
"March 21, 2025 06:35 AM","Property DamageThe BYU Police responded to an accident at the Mission Training Center (MTC), where a BYU employee had backed a BYU-owned vehicle into a fence. An officer gathered information and documented the minor damage to the vehicle. Fortunately, there was no damage to the fence, and the driver sustained no injuries."
"March 21, 2025 06:35 AM","MedicalAn officer, BYU EMS and Provo Fire, responded to Wyview Building #30 following a report of a child having trouble breathing. The responding units arrived and treated the patient. It was determined that the child did not need to be transported to the hospital for further treatment."
"March 21, 2025 06:35 AM","EscortAn officer was asked to assist the complainant in getting a ride to their vehicle, as the complainant was experiencing severe knee pain and could no longer walk. The officer picked up the complainant and a family member up at the WSC and transported them to their vehicle in the parking lot of the MOA."
"March 20, 2025 01:01 PM","Unsecured DoorAn officer patrolling near the Indoor Practice Field noticed the northwest exterior door propped open. After checking inside the facility and finding no one present, the officer closed the door and ensured it was securely locked."
"March 20, 2025 01:01 PM","InformationAn officer was called to the Cannon Center at Helaman Halls after an employee discovered a zip lock bag on the cafeteria floor. Unsure of its contents, the employee noted that the yellow substance inside resembled a food seasoning. The bag was disposed of by the officer."
"March 20, 2025 01:01 PM","TheftAn officer contacted the complainant regarding two delayed bicycle thefts. After establishing contact, the officer documented the incident and assigned a case number for tracking purposes."
"March 20, 2025 01:01 PM","TrespassingSecurity advised dispatch about two males who had been instructed to leave the building but reportedly returned afterward. Officers arrived, searched the building, and asked a few others to leave; however, those individuals were not the ones initially reported. Dispatch later informed us that the two males we were looking for had actually left the building for good after being told to do so for the second time."
"March 20, 2025 01:01 PM","Welfare CheckAn officer was dispatched to Wymount Terrace for a welfare check. Upon arrival, the officer was unable to locate the individual and informed the reporting party to call back if they saw them again. The officer then cleared the scene."
"March 20, 2025 12:26 PM","SuspiciousAn officer was dispatched to Helaman Halls after a complainant reported seeing a man aged 30-40 sitting in a tan SUV, who appeared out of place. The officer patrolled the area but was unable to find the vehicle. The Dispatch Center also reviewed surveillance footage but could not locate the SUV."
"March 20, 2025 12:26 PM","MedicalAn officer was dispatched to Wymount Terrace to assist Provo Fire with a female patient experiencing abdominal pain. Upon arrival, the officer found the patient feeling nauseous in the bathroom. Provo Fire assessed her condition, and she was later transported to Utah Valley Hospital in a privately-owned vehicle."
"March 20, 2025 12:26 PM","Report of Smoke – FireAn officer responded to Wymount Terrace after reports of an active fire outside a building. Upon arrival, neither Provo Fire nor the officer found any active flames. The individual responsible for the fire spoke with them and admitted to burning chemicals. Both the officer and fire officials advised the individual against burning chemicals on university property and instructed them to dispose of the materials properly."
"March 20, 2025 12:26 PM","AccidentAn officer was dispatched to lot #26 of the visitor parking area following a reported accident. The incident involved a white Honda Odyssey and a gray Honda Pilot. The Odyssey had parked in a stall when the Pilot, which was directly behind it, attempted to maneuver into a nearby spot and both vehicles collided. Accident report filed."
"March 20, 2025 12:26 PM",Found PropertyAn officer was approached by a person who found a key in a parking lot and wished to turn it in. The officer collected the key and subsequently took it to the lost and found.
"March 20, 2025 12:26 PM","Missing ChildAn officer, already on duty at the Marriott Center for the Dance Sport event, was called to investigate a report of a missing child. While patrolling the concourse, the officer received an update that the child's mother had located her missing child and confirmed that police assistance was no longer necessary."
"March 20, 2025 12:26 PM","SuspiciousAn officer was dispatched to the Wilkinson Student Center (WSC) after an employee reported that a transient man was upset for being unable to bring a drink mug into an event he wished to attend. Upon arrival, the officer verified the man's identity using his Utah ID and confirmed through the Dispatch Center that he had no prior police interactions or warrants. After explaining that the event was restricted to students and required a ticket for entry, the man chose to sit in a chair and stated he did not intend to attend. The officers then updated the complainant on the situation."
"March 20, 2025 12:26 PM","Citizen AssistBYU Police were alerted by a caller requesting a welfare check on an individual loitering in the hallway outside her office at the JKB for several hours while using his phone. Although the caller felt uncomfortable passing by him, she noted that he was not exhibiting any concerning behavior. Upon investigation, the officer found that the male was present for a legitimate reason."
"March 20, 2025 09:30 AM","Unsecured DoorA police officer responded to a report of an unsecured premise at the Wilkinson Student Center. Upon arrival, the officer discovered that the door was closed but not locked and found no apparent reason for its unsecured state. The officer secured the door and took no further action."
"March 20, 2025 09:30 AM","TrespassingAn officer responded to a delayed trespassing incident at Wasatch Elementary, where unknown individuals discharged three fire extinguishers in various rooms throughout the school. There were no signs of forced entry, and the method by which the subjects accessed the building remains unclear. Fortunately, no damage or theft of items or tools was reported."
"March 20, 2025 09:30 AM","MedicalAn officer was dispatched to Heritage 3's Activity room in response to a student feeling as though he had lodged something in his throat. BYU EMS and Provo Fire attended to the student, who was treated and released by BYU EMS."
"March 20, 2025 09:30 AM","Citizen ContactA police officer responded to a reported theft at the Smith Field House, where a student had experienced the theft of his cell phone, AirPods, and other belongings while working out in the weight room. Upon arrival, the officer learned that the student had successfully recovered his items, discovering that a backpack had been placed over them, obscuring his view."
"March 20, 2025 09:30 AM",Animal ProblemA report was made regarding an injured cat in the vicinity of the construction trailers near the new BYU Fine Arts building. A police officer was dispatched to the area to investigate but was unable to locate the animal.
"March 20, 2025 09:30 AM","Suspicious PersonAn officer was dispatched to the BYU Foreign Language Center following a report of two males behaving suspiciously. After conducting extra patrols in the area, the call was cleared as unfounded."
"March 20, 2025 09:30 AM","TheftA student reported the theft of their MACFOX e-bike, valued at $1000, from Wyvew Park between October 2024 and the present. The complainant noted that their bike lock appeared to have been cut with a grinder. They will provide any additional information about the missing bicycle to the officer as it becomes available."
"March 20, 2025 07:48 AM","Welfare CheckAn officer responded to Helaman Halls to perform a welfare check on a student. A BYU faculty member called and reported that they had not seen the student in class and requested the welfare check. The officer went to the residence and spoke with the student's wife, who stated that he was sick last week but had returned to class today. I asked her to have her husband contact me. The officer later spoke with the student, who confirmed that he had been sick with the flu but had returned to classes."
"March 20, 2025 07:48 AM","MedicalAn officer responded to the Life Science building in reference to an unconscious person. Upon arrival, the individual was found to be conscious and breathing. EMS evaluated the patient, who then refused transport."
"March 20, 2025 07:48 AM","Fire – Gas SmellAn officer responded to Building 4B in Wymount Terrace following a report of a gas smell. The officer, along with Provo Fire and BYU EMS, arrived and spoke with the tenants, who reported the odor of natural gas. Fire personnel also noted a slight odor of natural gas but found no readings on their OC equipment. Housing was contacted and asked to respond to investigate the situation further."
"March 20, 2025 07:48 AM","MedicalAn officer was dispatched to the Harold B. Lee Library to assist BYU EMS with a student who had fallen six hours earlier and injured her ankle. Upon arrival, the officer was informed by the patient that she didn’t believe her ankle was broken, but she needed assistance getting to her apartment. BYU EMS provided her with a ride to her residence."
"March 20, 2025 07:48 AM","Agency AssistBYU Police and BYU EMS assisted Provo Fire and Provo PD at the scene of a vehicle vs. pedestrian accident that occurred in the east side crosswalk of the Cougar Blvd. and Canyon Road intersection. The pedestrian suffered minor injuries, and the Provo police officer on the scene issued the driver of the vehicle a citation."
"March 20, 2025 07:48 AM","FraudThe complainant received a phone call from a blocked number, during which the caller claimed she had a warrant out of Idaho and needed to pay a portion of it to avoid going to jail. She managed to send $2,000 through Apple Cash before realizing it was a scam. The only information available about the suspect is the phone number to which she sent the cash. This case will be referred to Investigations for further follow-up."
"March 20, 2025 07:48 AM","InformationA police officer responded to a delayed property damage report involving two individuals working at the north university intramural field. The damage occurred when one vehicle's door hit the other, causing minor cosmetic damage. The reporting party requested that the officer refrain from contacting the other individual, as he preferred to handle the matter privately and amicably. This report is for informational purposes and will be updated based on the reporting party's wishes."
"March 14, 2025 10:42 AM",Suspicious PersonBYU Police were dispatched to Wymount for a suspicious male who was reported as carrying a crowbar. An officer responded to the area and found the male in the area. The individual advised he was a plumber and that he was working in the area fixing pipes. The supposed crowbar was a wrench used to access the pipes.
"March 14, 2025 10:42 AM","Criminal MischiefBYU Police received a report of graffiti on a sign that had been posted on a door in the WSC. The complainant stated they did not need any police action; however, they requested that the incident be documented in case further problems arise."
"March 14, 2025 10:42 AM","Property DamageReport of a vehicle hitting a parking barrier at the MTC: The officer responded to the scene and observed and documented the incident. There was minimal superficial cosmetic damage to the involved property. Information was collected from the driver of the vehicle, and the Facilities department was notified."
"March 14, 2025 10:42 AM",Lost PropertyAn officer was asked to contact the complainant regarding a missing key from the Engineering Building. The complainant stated that the key was a 1400 key #40 and believed it went missing sometime between 2018 and 2023. The complainant also mentioned that the key was discovered missing during the campus key audit.
"March 14, 2025 10:42 AM","Lost PropertyA call was received in dispatch via email of a lost wallet. An officer contacted the caller by phone. The caller reported being around the Blue Line restaurant and other locations on campus. Items were entered into the local database, and efforts were made to check lost and found locations. The caller has been proactive in efforts to locate the wallet."
"March 14, 2025 07:17 AM","TrespassingOfficers were dispatched to the SAB regarding a student athlete who had been sleeping in the building. According to the complainant, the student had previously received permission from the coaching staff to sleep in the SAB. This information will be verified through the administrative staff."
"March 14, 2025 07:17 AM","AccidentThe accident involved a BYU box truck and a Ford Bronco. No injuries were reported, and there was minimal superficial damage to one vehicle. One vehicle backed into the other. An officer responded to the scene and photographed and documented the collision."
"March 14, 2025 07:17 AM","AccidentBYU Police responded to a traffic accident on BYU Campus. An officer facilitated the exchange of information for insurance purposes, and documented the damage sustained by the vehicles involved. The parties were provided with the case number for insurance purposes."
"March 14, 2025 07:17 AM",Lost PropertyReport of missing keys from the Clyde Building. An officer made contact by phone and assisted in documenting the inventory of the missing keys. The keys were later located by the complainant.
"March 14, 2025 07:17 AM",Public Peace - Noise ComplaintBYU Police were dispatched to a noise complaint at Wyview Park. The complainant stated she had been woken up by some loud construction noises in the middle of the night. Officers patrolled around the area but were unable to find any construction work occurring in the area on campus. The complainant was advised to talk to Provo Police.
"March 14, 2025 07:17 AM","Lost PropertyA report was filed regarding a missing key from the Joseph F. Smith Building; the specific lock the key belongs to is unknown. Although it is listed in the inventory, the key cannot be located. The officer documented the report for informational purposes."
"March 14, 2025 07:17 AM","Animal ProblemBYU Police responded to Wyview Park regarding an injured deer. Officers discovered that the deer had a broken leg yet continued to run around the area. They were unable to get the deer to stop long enough or in a safe enough location to euthanize it, so they left the animal alone."
"March 14, 2025 07:17 AM","Found PropertyBYU Police were dispatched to a found property incident at Budge Hall. The hall advisor stated he found a police barricade inside an apartment during inspections. The student thought it was cool, so he put it inside his apartment. Security dispatch was asked to pick up the barricade, while the officer spoke to the student about the incident."
"March 14, 2025 07:17 AM",MedicalAn officer responded to the IPF regarding a patient who had injured their knee during an intramural soccer game. The patient was medically cleared by BYU EMS and transported to the hospital by private vehicle.
"March 14, 2025 07:17 AM",Citizen ContactAn officer was dispatched to the MTC regarding a suspicious package containing a white substance. The officer determined that the white powder was not an illicit substance but rather a prank involving laundry soap. There was no way to ascertain how long the package had been in the area where it was found.
"March 14, 2025 06:50 AM",Suspicious PersonReport of an adult male observed near an all-girls dorm. An officer contacted the caller and followed up to identify the male. No suspicious activity was noted; the subject had proper access and resides at the location.
"March 14, 2025 06:50 AM",MedicalOfficers responded to the trailhead for a medical assist reported by Provo. The only detail provided was that an individual had passed out. Officers checked the area and were unable to locate a problem.
"March 14, 2025 06:50 AM",Citizen ContactBYU Police were contacted regarding a minor traffic accident that had been delayed in reporting. Both parties involved had already exchanged information but had questions about how to report the incident to their insurance and whether they needed a police report. An officer addressed their inquiries and clarified the civil nature of their accident. They were then directed to their insurance agents for further assistance.
"March 14, 2025 06:50 AM","FraudA caller reported a fraudulent incident involving the sale of a vehicle on Facebook. The caller made a deposit using a pay app linked to their debit card, believing they were purchasing the vehicle from a legitimate seller. However, it was later revealed that the Facebook account they interacted with had been hacked. An officer documented the incident and advised the caller to contact their bank regarding the transaction. The case is currently under investigation."
"March 14, 2025 06:50 AM","TheftBYU Police responded to a report of a delayed scooter theft at Wyview Park. The stolen scooter was equipped with an Apple AirTag, providing a tracking mechanism. An officer collected the details of the incident and forwarded the information to Detectives, who will work on locating the scooter using the tracking data."
"March 14, 2025 06:50 AM","TheftAn officer was investigating another scooter theft. It was reported that the complainant's scooter had been stolen from the bike rack near the SAB. The necessary information was gathered, and a report was completed. There are no suspects or camera footage available in the area where the theft occurred."
"March 14, 2025 06:50 AM","AccidentReport of a Single Vehicle (Motorcycle) Accident on 450 East. An officer responded to the scene and contacted the motorcycle driver. The driver had lost control of the bike, resulting in a crash in the travel lane. Provo Fire/EMS also responded, but the driver declined medical assistance. The motorcycle was left inoperable. The driver and a friend removed the bike from the scene."
"March 14, 2025 06:50 AM","Welfare CheckAn officer was dispatched to Helaman Halls for a welfare check. Dispatch advised that the complainant had been unable to get in touch with a family member for over an hour. Before the officer arrived at the subject's residence, the complainant called back and reported that they had been in contact with the subject, and assistance was no longer needed."
"March 13, 2025 10:15 AM","Citizen ContactAn officer was dispatched to respond to a telephone call about an individual who found damage to their vehicle. The complainant stated that they were unsure if the damage occurred on BYU's campus or off campus. There is no security camera footage of the incident during the timeframe when the vehicle was on campus. According to the complainant, the damage consists of marks that can be buffed out."
